Sample	Pho80	Pho4	Pho2	Cgla4	Scer4	Cgla2	Scer2	Condition
N1	del80	Cgla4	Cgla2	1	0	1	0	hiPi
N2	del80	Cgla4	Cgla2	1	0	1	0	hiPi
O1	del80	del4	Cgla2	0	0	1	0	hiPi
O2	del80	del4	Cgla2	0	0	1	0	hiPi
P1	del80	Scer4	Cgla2	0	1	1	0	hiPi
P2	del80	Scer4	Cgla2	0	1	1	0	hiPi
Q1	del80	Cgla4	del2	1	0	0	0	hiPi
Q2	del80	Cgla4	del2	1	0	0	0	hiPi
R1	del80	Scer4	del2	0	1	0	0	hiPi
R2	del80	Scer4	del2	0	1	0	0	hiPi
S1	del80	del4	del2	0	0	0	0	hiPi
S2	del80	del4	del2	0	0	0	0	hiPi
T1	del80	del4	Scer2	0	0	0	1	hiPi
T2	del80	del4	Scer2	0	0	0	1	hiPi
U1	del80	Scer4	Scer2	0	1	0	1	hiPi
U2	del80	Scer4	Scer2	0	1	0	1	hiPi
W1	wt80	Cgla4	Cgla2	1	0	1	0	hiPi
W2	wt80	Cgla4	Cgla2	1	0	1	0	hiPi
W3	wt80	Cgla4	Cgla2	1	0	1	0	noPi
W4	wt80	Cgla4	Cgla2	1	0	1	0	noPi
