Well,Master,Assay,Sample,Replicate,Dilution,Ct
A1,AmpliGold,ACT1,S37,1,100,23.5174007416
A2,AmpliGold,ACT1,S37,2,100,23.1433200836
A3,AmpliGold,ACT1,S37,3,100,23.1198291779
A4,AmpliGold,ACT1,S37,1,1000,26.6860485077
A5,AmpliGold,ACT1,S37,2,1000,26.6984214783
A6,AmpliGold,ACT1,S37,3,1000,26.6295795441
A7,AmpliGold,ACT1,S37,1,10000,29.9351921082
A8,AmpliGold,ACT1,S37,2,10000,30.6670627594
A9,AmpliGold,ACT1,S37,3,10000,29.9193820953
A10,AmpliGold,ACT1,S37,1,100000,34.2129364014
A11,AmpliGold,ACT1,S37,2,100000,32.9714622498
A12,AmpliGold,ACT1,S37,3,100000,33.7491874695
B1,AmpliGold,ACT1,S1,1,100,23.6719818115
B2,AmpliGold,ACT1,S1,2,100,23.5507831573
B3,AmpliGold,ACT1,S1,3,100,23.4672756195
B4,AmpliGold,ACT1,S3,1,100,23.119594574
B5,AmpliGold,ACT1,S3,2,100,23.3184242249
B6,AmpliGold,ACT1,S3,3,100,23.3597717285
B7,AmpliGold,ACT1,S5,1,100,25.222864151
B8,AmpliGold,ACT1,S5,2,100,24.861076355
B9,AmpliGold,ACT1,S5,3,100,25.1780281067
B10,AmpliGold,ACT1,S21,1,100,23.8689079285
B11,AmpliGold,ACT1,S21,2,100,23.825012207
B12,AmpliGold,ACT1,S21,3,100,23.6897563934
C1,AmpliGold,ACT1,S7,1,100,23.6349983215
C2,AmpliGold,ACT1,S7,2,100,23.5367202759
C3,AmpliGold,ACT1,S7,3,100,23.5023498535
C4,AmpliGold,ACT1,S15,1,100,23.5492038727
C5,AmpliGold,ACT1,S15,2,100,23.8364849091
C6,AmpliGold,ACT1,S15,3,100,23.453086853
C7,AmpliGold,ACT1,S19,1,100,23.9114589691
C8,AmpliGold,ACT1,S19,2,100,23.8115348816
C9,AmpliGold,ACT1,S19,3,100,24.0565605164
C10,AmpliGold,ACT1,NTC,1,100,36.513835907
C11,AmpliGold,ACT1,NTC,2,100,42
C12,AmpliGold,ACT1,NTC,3,100,42
D1,AmpliGold,PHO84,S37,1,100,20.6670589447
D2,AmpliGold,PHO84,S37,2,100,20.501077652
D3,AmpliGold,PHO84,S37,3,100,20.4053936005
D4,AmpliGold,PHO84,S37,1,1000,23.8362159729
D5,AmpliGold,PHO84,S37,2,1000,23.7814311981
D6,AmpliGold,PHO84,S37,3,1000,23.7490196228
D7,AmpliGold,PHO84,S37,1,10000,27.2155265808
D8,AmpliGold,PHO84,S37,2,10000,27.0726776123
D9,AmpliGold,PHO84,S37,3,10000,27.2043781281
D10,AmpliGold,PHO84,S37,1,100000,30.5505123138
D11,AmpliGold,PHO84,S37,2,100000,30.6660709381
D12,AmpliGold,PHO84,S37,3,100000,30.4908409119
E1,AmpliGold,PHO84,S1,1,100,30.060333252
E2,AmpliGold,PHO84,S1,2,100,30.5295944214
E3,AmpliGold,PHO84,S1,3,100,30.0810909271
E4,AmpliGold,PHO84,S3,1,100,29.7407722473
E5,AmpliGold,PHO84,S3,2,100,29.6561584473
E6,AmpliGold,PHO84,S3,3,100,29.9876365662
E7,AmpliGold,PHO84,S5,1,100,31.9400577545
E8,AmpliGold,PHO84,S5,2,100,32.1033210754
E9,AmpliGold,PHO84,S5,3,100,31.3792800903
E10,AmpliGold,PHO84,S21,1,100,28.614938736
E11,AmpliGold,PHO84,S21,2,100,28.205242157
E12,AmpliGold,PHO84,S21,3,100,28.4212818146
F1,AmpliGold,PHO84,S7,1,100,21.2893276215
F2,AmpliGold,PHO84,S7,2,100,21.2182350159
F3,AmpliGold,PHO84,S7,3,100,21.0161514282
F4,AmpliGold,PHO84,S15,1,100,20.946105957
F5,AmpliGold,PHO84,S15,2,100,20.6349182129
F6,AmpliGold,PHO84,S15,3,100,20.7205352783
F7,AmpliGold,PHO84,S19,1,100,21.3351383209
F8,AmpliGold,PHO84,S19,2,100,21.2253932953
F9,AmpliGold,PHO84,S19,3,100,21.2030277252
F10,AmpliGold,PHO84,NTC,1,100,42
F11,AmpliGold,PHO84,NTC,2,100,42
F12,AmpliGold,PHO84,NTC,3,100,42
G1,OneTaq,ACT1,S37,1,100,21.6276512146
G2,OneTaq,ACT1,S37,2,100,21.6254386902
G3,OneTaq,ACT1,S37,3,100,21.4648513794
G4,OneTaq,ACT1,S37,1,1000,24.9613132477
G5,OneTaq,ACT1,S37,2,1000,24.6708660126
G6,OneTaq,ACT1,S37,3,1000,24.6637783051
G7,OneTaq,ACT1,S37,1,10000,28.5493240356
G8,OneTaq,ACT1,S37,2,10000,28.6812381744
G9,OneTaq,ACT1,S37,3,10000,28.3724327087
G10,OneTaq,ACT1,S37,1,100000,30.9751873016
G11,OneTaq,ACT1,S37,2,100000,30.9867858887
G12,OneTaq,ACT1,S37,3,100000,31.2328414917
H1,OneTaq,PHO84,S37,1,100,19.1874866486
H2,OneTaq,PHO84,S37,2,100,19.1514129639
H3,OneTaq,PHO84,S37,3,100,19.2267303467
H4,OneTaq,PHO84,S37,1,1000,22.4554767609
H5,OneTaq,PHO84,S37,2,1000,22.5198249817
H6,OneTaq,PHO84,S37,3,1000,22.3946266174
H7,OneTaq,PHO84,S37,1,10000,25.6608848572
H8,OneTaq,PHO84,S37,2,10000,25.7866706848
H9,OneTaq,PHO84,S37,3,10000,26.1591072083
H10,OneTaq,PHO84,S37,1,100000,29.3700275421
H11,OneTaq,PHO84,S37,2,100000,29.5079536438
H12,OneTaq,PHO84,S37,3,100000,28.9806270599
