ALT_ID	Sample	Strain	Genotype	Media	Timepoint
C6	S1	HY6	pho80∆ pho4∆	SC 10 mM Pi	pre
C7	S2	HY7	pho80∆ pho4∆	SC 10 mM Pi	pre
1A	S3	HY1	wild-type	SC 10 mM Pi	pre
2A	S4	HY2	wild-type	SC 10 mM Pi	pre
5A	S5	HY5	pho4∆	SC 10 mM Pi	pre
5a'	S6	HY5	pho4∆	SC 10 mM Pi	pre
1B	S7	HY1	wild-type	SC 0 mM Pi	20'
2B	S8	HY2	wild-type	SC 0 mM Pi	20'
5B	S9	HY5	pho4∆	SC 0 mM Pi	20'
5b'	S10	HY5	pho4∆	SC 0 mM Pi	20'
1C	S11	HY1	wild-type	SC 0 mM Pi	30'
2C	S12	HY2	wild-type	SC 0 mM Pi	30'
5C	S13	HY5	pho4∆	SC 0 mM Pi	30'
5c'	S14	HY5	pho4∆	SC 0 mM Pi	30'
1D	S15	HY1	wild-type	SC 0 mM Pi	45'
2D	S16	HY2	wild-type	SC 0 mM Pi	45'
5D	S17	HY5	pho4∆	SC 0 mM Pi	45'
5d'	S18	HY5	pho4∆	SC 0 mM Pi	45'
1E	S19	HY1	wild-type	SC 0 mM Pi	60'
2E	S20	HY2	wild-type	SC 0 mM Pi	60'
5E	S21	HY5	pho4∆	SC 0 mM Pi	60'
5e'	S22	HY5	pho4∆	SC 0 mM Pi	60'
1F	S23	HY1	wild-type	SC 0 mM Pi	90'
5F	S24	HY5	pho4∆	SC 0 mM Pi	90'
1G	S25	HY1	wild-type	SC 0 mM Pi	120'
2G	S26	HY2	wild-type	SC 0 mM Pi	120'
5G	S27	HY5	pho4∆	SC 0 mM Pi	120'
5g'	S28	HY5	pho4∆	SC 0 mM Pi	120'
1H	S29	HY1	wild-type	SC 0 mM Pi	150'
5H	S30	HY5	pho4∆	SC 0 mM Pi	150'
1I	S31	HY1	wild-type	SC 0 mM Pi	180'
2I	S32	HY2	wild-type	SC 0 mM Pi	180'
5I	S33	HY5	pho4∆	SC 0 mM Pi	180'
5i'	S34	HY5	pho4∆	SC 0 mM Pi	180'
1J	S35	HY1	wild-type	SC 0 mM Pi	240'
5J	S36	HY5	pho4∆	SC 0 mM Pi	240'
C3	S37	HY3	pho80∆	SC 10 mM Pi	pre
C4	S38	HY4	pho80∆	SC 10 mM Pi	pre
